40			
0	1	3	5
3	5	6	7
6	8	4	5
5	4	2	0
			
			
0	1	9	10
1	3	10	12
3	7	12	16
7	6	16	15
6	8	15	17
8	4	17	13
4	2	13	11
2	0	11	9
			
9	10	18	19
10	12	19	21
12	16	21	25
16	15	25	24
15	17	24	26
17	13	26	22
13	11	22	20
11	9	20	18
			
18	19	27	28
19	21	28	30
21	25	30	34
25	24	34	33
24	26	33	35
26	22	35	31
22	20	31	29
20	18	29	27
			
27	28	36	37
28	30	37	39
30	34	39	43
34	33	43	42
33	35	42	44
35	31	44	40
31	29	40	38
29	27	38	36
			
36	37	39	41
39	41	42	43
42	44	40	41
41	40	38	36

12	16	21	25
16	15	25	24
15	17	24	26
17	13	26	22
13	11	22	20
11	9	20	18


18	19	21	23
21	23	24	25
23	24	26	22
23	22	20	18	
